"","town","path_node_count"
"1","New Milford",2610
"2","Bethel",5348
"3","Bridgeport",10249
"4","Brookfield",3392
"5","Danbury",5362
"6","Darien",7926
"7","Easton",16462
"8","Fairfield",14305
"9","Greenwich",5722
"10","Monroe",13744
"11","New Canaan",8078
"12","New Fairfield",4736
"13","Newtown",9957
"14","Norwalk",4441
"15","Redding",9273
"16","Ridgefield",6789
"17","Shelton",12381
"18","Sherman",4043
"19","Stamford",6577
"20","Stratford",12235
"21","Trumbull",13013
"22","Weston",11999
"23","Westport",11254
"24","Wilton",6295
"25","Bozrah",5301
"26","Colchester",4966
"27","East Lyme",3542
"28","Franklin",4040
"29","Griswold",2856
"30","Groton",4942
"31","Lebanon",10114
"32","Ledyard",4830
"33","Lisbon",1763
"34","Lyme",1785
"35","Montville",8577
"36","New London",6618
"37","North Stonington",6140
"38","Norwich",5028
"39","Old Lyme",1311
"40","Preston",3160
"41","Salem",2094
"42","Sprague",2446
"43","Stonington",5029
"44","Voluntown",4703
"45","Waterford",5858
"46","Waterbury",10599
"47","Barkhamsted",5783
"48","Bethlehem",8720
"49","Bridgewater",5701
"50","Canaan",1295
"51","Ashford",4180
"52","Brooklyn",5618
"53","Canterbury",3568
"54","Chaplin",1448
"55","Eastford",2277
"56","Hampton",3161
"57","Killingly",2757
"58","Plainfield",3911
"59","Pomfret",7008
"60","Putnam",2785
"61","Scotland",3110
"62","Andover",21544
"63","Bolton",8917
"64","Columbia",21073
"65","Coventry",23072
"66","Ellington",8424
"67","Hebron",15632
"68","Somers",7042
"69","Stafford",6398
"70","Tolland",20020
"71","Sterling",3221
"72","Thompson",2762
"73","Windham",3486
"74","Woodstock",6359
"75","Union",4438
"76","Vernon",8936
"77","Willington",13943
"78","Mansfield",12887
"79","Avon",30321
"80","Berlin",36703
"81","Bloomfield",24272
"82","Bristol",19616
"83","Burlington",17541
"84","Canton",17100
"85","East Granby",15568
"86","East Hartford",19252
"87","East Windsor",15137
"88","Enfield",4739
"89","Farmington",30577
"90","Glastonbury",10988
"91","Granby",12484
"92","Hartford",21663
"93","Hartland",3739
"94","Manchester",11132
"95","Marlborough",6195
"96","New Britain",42411
"97","Newington",37025
"98","Plainville",30099
"99","Rocky Hill",31924
"100","Simsbury",26304
"101","Southington",26088
"102","South Windsor",18270
"103","Suffield",11815
"104","West Hartford",26600
"105","Wethersfield",31687
"106","Windsor",21964
"107","Windsor Locks",17422
"108","Chester",5081
"109","Clinton",4894
"110","Cromwell",25939
"111","Deep River",4868
"112","Durham",20593
"113","East Haddam",3191
"114","East Hampton",4970
"115","Essex",3141
"116","Haddam",4044
"117","Killingworth",5783
"118","Middlefield",24844
"119","Middletown",15334
"120","Old Saybrook",2946
"121","Portland",7513
"122","Westbrook",4460
"123","Madison",5561
"124","Colebrook",1269
"125","Cornwall",3190
"126","Goshen",4421
"127","Harwinton",4835
"128","Kent",1338
"129","Litchfield",6465
"130","Morris",8012
"131","New Hartford",10750
"132","Norfolk",2495
"133","North Canaan",1164
"134","Plymouth",9280
"135","Roxbury",5450
"136","Salisbury",1794
"137","Sharon",953
"138","Thomaston",8076
"139","Torrington",5398
"140","Warren",2636
"141","Washington",3735
"142","Watertown",9846
"143","Winchester",3006
"144","Woodbury",10590
"145","Ansonia",35911
"146","Beacon Falls",40014
"147","Bethany",46542
"148","Branford",3301
"149","Cheshire",18965
"150","Derby",30997
"151","East Haven",6482
"152","Guilford",6298
"153","Hamden",32413
"154","Meriden",29080
"155","Middlebury",10455
"156","Milford",32375
"157","Naugatuck",21651
"158","New Haven",27635
"159","North Branford",6322
"160","North Haven",13137
"161","Orange",40760
"162","Oxford",10688
"163","Prospect",19816
"164","Seymour",29683
"165","Southbury",10427
"166","Wallingford",23558
"167","West Haven",39117
"168","Wolcott",16765
"169","Woodbridge",47219
